carbon,hardness
0.11,45
1.2,89
0.16,49
0.12,45.6
0.16,60.8
0.07,26.6
0.19,72.2
0,0
0.06,22.8
0.17,64.6
0.18,106.4
0.11,79.8
0.19,110.2
0.18,106.4
0.05,57
0.18,106.4
0.13,87.4
0.15,95
0.07,64.6
0.01,41.8
0.07,64.6
0.13,87.4
0.04,53.2
0.02,45.6
0.04,53.2
0.02,45.6
0.13,87.4
0.12,83.6
0.1,76
0.1,76
0.19,110.2
0.15,95
0.05,57
0.07,64.6
0.04,53.2
0.03,49.4
0.03,49.4
0.05,57
0.06,60.8
0.19,110.2
0.14,91.2
0.17,102.6
0.1,76
0.05,57
0.2,114
0.05,57
0.13,87.4
0.04,53.2
0.08,68.4
0.07,64.6
0.1,76
0.01,41.8
0.08,68.4
0.05,57
0.06,60.8
0.09,72.2
0.18,106.4
0.13,87.4
0.18,106.4
0.12,83.6
0.08,68.4
0.02,45.6
0.17,102.6
0.08,68.4
0.04,53.2
0.2,114
0.15,95
0.11,79.8
0.08,68.4
0.14,91.2
0.09,72.2
0.19,110.2
0.14,91.2
0.18,106.4
0.2,114
0.01,41.8
0.1,76
0.19,110.2
0.17,102.6
0.05,57
0.15,95
0.07,64.6
0.09,72.2
0.19,110.2
0.09,72.2
0.14,91.2
0.16,98.8
0.12,83.6
0.14,91.2
0.1,76
0.19,110.2
0.16,98.8
0.19,110.2
0.11,79.8
0.05,57
0.17,102.6
0.18,106.4
0.15,95
0.11,79.8
0.13,87.4
0.02,45.6
0.16,98.8
0.18,106.4
0,38
0.12,83.6
0,38
0.14,91.2
0.06,60.8
0.03,49.4
0.03,49.4
0.06,60.8
0.15,95
0.07,64.6
0.09,72.2
0.2,114
0.2,114
0.08,68.4
0,38
0.03,49.4
0.16,98.8
0.07,64.6
0.19,110.2
0.12,83.6
0.11,79.8
0.04,53.2
0.15,95
0,38
0.01,41.8
0.08,68.4
0.06,60.8
0.2,114
0.11,79.8
0.02,45.6
0.1,76
0.04,53.2
0.01,41.8
0.15,95
0.09,72.2
0.03,49.4
0.13,87.4
0.03,49.4
0.1,76
0.2,114
0.03,49.4
0.2,114
0.07,64.6
0.2,114
0.08,68.4
0.19,110.2
0.18,106.4
0.05,57
0.17,102.6
0.04,53.2
0.03,49.4
0.18,106.4
0.11,79.8
0.08,68.4
0.03,49.4
0.11,79.8
0.02,45.6
0.02,45.6
0.01,41.8
0.03,49.4
0.04,53.2
0.18,106.4
0.11,79.8
0.13,87.4
0.13,87.4
0.1,76
0.04,53.2
0.03,49.4
0.2,114
0.04,53.2
0.19,110.2
0.14,91.2
0.17,102.6
0.03,49.4
0.19,110.2
0.04,53.2
0.06,60.8
0,38
0.07,64.6
0.17,102.6
0.06,60.8
0.07,64.6
