Fe,C,Cr,Ni,Mn,S,Si,Mo,V,W,Co,Al,P,Cu,Ti,Tensile_Strength_MPa
55.79,0.46,17.11,14.64,1.2,0.01,0.31,0.29,0.87,3.01,3.54,0.02,0.05,2.5,0.21,1186.48
70.57,0.37,9.45,8.64,0.58,0.03,0.28,1.46,0.37,2.28,3.93,0.2,0.03,1.78,0.05,911.92
82.93,0.73,3.07,1.3,1.9,0.05,1.62,1.52,0.1,3.42,2.2,0.12,0.02,0.1,0.91,1154.17
63.6,0.38,9.36,10.93,0.37,0.05,1.55,4.7,0.89,2.99,4.61,0.09,0.01,0.14,0.33,1125.14
67.83,0.47,4.88,16.57,0.71,0.01,1.09,0.7,0.8,0.37,4.93,0.77,0.01,0.02,0.82,1058.12
80.25,0.93,1.33,7.17,0.23,0.04,1.25,1.65,0.06,1.55,1.63,0.73,0.03,2.66,0.47,1239.72
64.42,0.15,12.84,15.22,1.12,0.04,0.99,2.61,0.43,0.13,0.54,0.03,0.03,0.94,0.51,848.35
63.82,0.5,13.6,4.58,0.15,0.01,0.32,4.65,0.81,3.17,4.36,0.8,0.01,2.68,0.54,1283.9
66.79,0.97,16.13,6.36,0.22,0.01,0.85,4.09,0.86,0.03,2.55,0.42,0.01,0.36,0.34,1553.51
71.49,0.63,12.65,7.27,1.94,0.05,0.5,2.49,0.3,1.42,0.18,0.61,0.03,0.15,0.28,1181.39
78.4,1.09,4.31,2.9,0.98,0.05,0.48,3.36,0.76,1.19,3.64,0.37,0.03,1.9,0.54,1429.49
64.37,0.06,10.64,13.55,0.03,0.03,0.45,3.23,0.17,3.45,1.93,0.94,0.01,1.02,0.11,800.24
65.33,1.11,15.79,5.16,1.32,0.04,1.11,2.65,0.24,0.47,4.49,0.9,0.03,1.02,0.35,1623.92
60.87,1.07,14.04,12.84,0.17,0.01,1.8,3.03,0.01,0.51,3.32,0.01,0.01,1.65,0.69,1651.3
67.57,0.79,4.04,14.24,0.47,0.02,1.49,3.25,0.85,3.29,2.84,0.09,0.02,0.8,0.24,1382.55
62,1.07,11.36,15.9,1.01,0.03,0.99,0.98,0.72,1.4,0.12,0.65,0.01,2.82,0.95,1622.92
77.12,1.1,6.66,0.31,1.86,0.02,1.93,4.82,0.85,1.47,1.93,0.85,0.02,0.51,0.56,1598.71
66.5,0.69,1.75,12.3,1.98,0.01,1.04,4.39,0.74,3.49,3.51,0.36,0.01,2.43,0.81,1393.68
57.35,1.04,16.44,10.23,1,0.04,1.3,3.51,0.8,4.45,1.69,0.38,0,1.73,0.04,1837.07
80.17,0.35,10.63,0.61,0.07,0.04,0.72,0.64,0.52,3.85,1.08,0.62,0,0.16,0.53,798.36
60.62,0.65,11.47,14.52,1.95,0.03,0.65,3.98,0.27,2.19,0.39,0.03,0.05,2.51,0.7,1333.6
68.69,0.2,4.5,10.98,1.43,0.03,0.56,4.77,0.74,2.77,3.06,0.42,0.01,1.07,0.76,947.29
86.13,0.03,2.09,0.92,0.08,0.04,1.41,2.37,0.1,2.46,2.37,0.17,0.02,1.2,0.62,488.5
